ID,NAME,CITY,LINK,HEAT_MAP_LINK,DATE,TYPE,BEDROOM_COUNT,MEAN_PRICE,MEDIAN_PRICE
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,All Properties,4,725000,724472
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,1 Bedroom Properties,2,562000,562000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,2 Bedroom Properties,1,896499,896499
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,2 Bedroom Properties,2,886944,886944
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-06-25,3 Bedroom Properties,1,1355400,1355400
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,All Properties,4,650000,695403
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,1 Bedroom Properties,2,562000,562000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,2 Bedroom Properties,1,878413,878413
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,All Properties,3,575000,666333
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,1 Bedroom Properties,2,562000,562000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-02,2 Bedroom Properties,1,878413,878413
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-09,All Properties,1,805143,805143
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-09,1 Bedroom Properties,1,549000,549000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-09,2 Bedroom Properties,1,875000,875000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,All Properties,2,1197999,1197999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,2 Bedroom Properties,1,799999,799999
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,2 Bedroom Properties,1,875000,875000
1386,Alamo Square,San Francisco,http://www.trulia.com/real_estate/Alamo_Square-San_Francisco/1386/,http://www.trulia.com/home_prices/California/San_Francisco-heat_map/,2016-07-16,3 Bedroom Properties,1,1595999,1595999
